Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module tb_top.uut.bram.inst.\native_mem_module.blk_mem_gen_v8_4_7_inst  is using a behavioral model for simulation which will not precisely model memory collision behavior.
Time: 0, State: xxx, Next State: 000, Ena: x, Wea: x, Addra:     x, Douta: 000000, Done: x, Done_in: x, Red: xx, Green: xx, Blue: xx, Red_o: xx, Green_o: xx, Blue_o: xx, Done_out: x
Time: 265, State: 001, Next State: 010, Ena: 1, Wea: 1, Addra:     6, Douta: 000000, Done: 0, Done_in: 0, Red: 12, Green: 12, Blue: 12, Red_o: 0f, Green_o: 0f, Blue_o: 0f, Done_out: 1
Time: 275, State: 010, Next State: 011, Ena: 1, Wea: 0, Addra:     6, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 0
Time: 285, State: 011, Next State: 100, Ena: 1, Wea: 0, Addra:     6, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 295, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:     6, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 295, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:     6, Douta: 0f0f0f, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 305, State: 001, Next State: 010, Ena: 1, Wea: 1, Addra:     7, Douta: 0f0f0f, Done: 0, Done_in: 0, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 315, State: 010, Next State: 011, Ena: 1, Wea: 0, Addra:     7, Douta: 0f0f0f, Done: 0, Done_in: 1, Red: 0f, Green: 0f, Blue: 0f, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 0
Time: 325, State: 011, Next State: 100, Ena: 1, Wea: 0, Addra:     7, Douta: 0f0f0f, Done: 0, Done_in: 1, Red: 0f, Green: 0f, Blue: 0f, Red_o: 0a, Green_o: 0a, Blue_o: 0a, Done_out: 1
Time: 335, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:     7, Douta: 0f0f0f, Done: 0, Done_in: 1, Red: 0f, Green: 0f, Blue: 0f, Red_o: 0a, Green_o: 0a, Blue_o: 0a, Done_out: 1
Time: 335, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:     7, Douta: 000000, Done: 0, Done_in: 1, Red: 0f, Green: 0f, Blue: 0f, Red_o: 0a, Green_o: 0a, Blue_o: 0a, Done_out: 1
Time: 345, State: 001, Next State: 010, Ena: 1, Wea: 1, Addra:     8, Douta: 000000, Done: 0, Done_in: 0, Red: 0f, Green: 0f, Blue: 0f, Red_o: 0a, Green_o: 0a, Blue_o: 0a, Done_out: 1
Time: 355, State: 010, Next State: 011, Ena: 1, Wea: 0, Addra:     8, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 0
Time: 365, State: 011, Next State: 100, Ena: 1, Wea: 0, Addra:     8, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 375, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:     8, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 375, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:     8, Douta: 0a0a0a, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 385, State: 001, Next State: 010, Ena: 1, Wea: 1, Addra:     9, Douta: 0a0a0a, Done: 0, Done_in: 0, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 395, State: 010, Next State: 011, Ena: 1, Wea: 0, Addra:     9, Douta: 0a0a0a, Done: 0, Done_in: 1, Red: 0a, Green: 0a, Blue: 0a, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 0
Time: 405, State: 011, Next State: 100, Ena: 1, Wea: 0, Addra:     9, Douta: 0a0a0a, Done: 0, Done_in: 1, Red: 0a, Green: 0a, Blue: 0a, Red_o: 07, Green_o: 07, Blue_o: 07, Done_out: 1
Time: 415, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:     9, Douta: 0a0a0a, Done: 0, Done_in: 1, Red: 0a, Green: 0a, Blue: 0a, Red_o: 07, Green_o: 07, Blue_o: 07, Done_out: 1
Time: 415, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:     9, Douta: 000000, Done: 0, Done_in: 1, Red: 0a, Green: 0a, Blue: 0a, Red_o: 07, Green_o: 07, Blue_o: 07, Done_out: 1
Time: 425, State: 001, Next State: 010, Ena: 1, Wea: 1, Addra:    10, Douta: 000000, Done: 0, Done_in: 0, Red: 0a, Green: 0a, Blue: 0a, Red_o: 07, Green_o: 07, Blue_o: 07, Done_out: 1
Time: 435, State: 010, Next State: 011, Ena: 1, Wea: 0, Addra:    10, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 0
Time: 445, State: 011, Next State: 100, Ena: 1, Wea: 0, Addra:    10, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 455, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:    10, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 455, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:    10, Douta: 070707, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 465, State: 001, Next State: 010, Ena: 1, Wea: 1, Addra:    11, Douta: 070707, Done: 0, Done_in: 0, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 475, State: 010, Next State: 011, Ena: 1, Wea: 0, Addra:    11, Douta: 070707, Done: 0, Done_in: 1, Red: 07, Green: 07, Blue: 07, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 0
Time: 485, State: 011, Next State: 100, Ena: 1, Wea: 0, Addra:    11, Douta: 070707, Done: 0, Done_in: 1, Red: 07, Green: 07, Blue: 07, Red_o: 04, Green_o: 04, Blue_o: 04, Done_out: 1
Time: 495, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:    11, Douta: 070707, Done: 0, Done_in: 1, Red: 07, Green: 07, Blue: 07, Red_o: 04, Green_o: 04, Blue_o: 04, Done_out: 1
Time: 495, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:    11, Douta: 000000, Done: 0, Done_in: 1, Red: 07, Green: 07, Blue: 07, Red_o: 04, Green_o: 04, Blue_o: 04, Done_out: 1
